@RELATION csvToArff

@ATTRIBUTE credit_lines_outstanding REAL
@ATTRIBUTE payment_to_incomeratio REAL
@ATTRIBUTE debt_to_incomeratio REAL
@ATTRIBUTE years_employed REAL
@ATTRIBUTE fico_score REAL
@ATTRIBUTE default REAL

@DATA
0,0.05008161,0.08772628,4,599,0
4,0.045537728,0.213406254,6,714,0
0,0.038253734,0.073472391,5,600,0
0,0.046730535,0.01,4,709,0
5,0.070308375,0.256707086,4,540,1
1,0.070555617,0.11858701,4,589,0
5,0.065094359,0.282020734,4,568,1
1,0.049378347,0.103818184,5,697,0
1,0.04334719,0.100078445,7,589,0
1,0.062623984,0.097139685,3,750,0
1,0.053101137,0.106775013,6,651,0
1,0.05867694,0.129790337,5,720,0
0,0.058428344,0.107373903,3,678,0
5,0.079568549,0.309791014,4,647,1
0,0.057038288,0.081974363,5,674,0
0,0.052681985,0.075282779,2,585,0
1,0.039675775,0.095706432,5,680,0
0,0.062548399,0.080155679,3,698,0
1,0.063350267,0.115493301,5,755,0
0,0.056006696,0.01,5,708,0
4,0.059647478,0.235023018,3,589,1
5,0.064654221,0.281709521,4,591,1
1,0.056392251,0.063098831,6,577,0
0,0.051629193,0.064143185,6,663,0
1,0.063520266,0.076925208,6,594,0
5,0.049635571,0.236317949,8,717,1
5,0.067218313,0.273742734,3,616,1
5,0.076419931,0.309197244,5,546,1
0,0.053353538,0.029762074,5,618,0
4,0.071393614,0.225735415,5,663,1
5,0.050109416,0.247307162,5,578,1
5,0.065899071,0.280587216,3,584,1
0,0.060951455,0.06958802,5,704,0
1,0.062702961,0.134113785,5,746,0
5,0.057793614,0.30246757,4,607,1
0,0.044013159,0.06374345,3,603,0
1,0.053127866,0.101659637,6,629,0
3,0.057932596,0.154036568,8,737,0
0,0.051307205,0.067204041,5,620,0
1,0.062592164,0.12154001,6,643,0
0,0.074587052,0.072607318,3,550,0
1,0.072364901,0.1060225,5,695,0
0,0.049438108,0.063984348,5,682,0
0,0.056865554,0.042735547,4,503,0
4,0.05857716,0.230647341,5,580,1
0,0.076509957,0.06100921,5,714,0
1,0.053194455,0.085877901,6,639,0
1,0.065659981,0.073991786,6,662,0
0,0.055769229,0.026501393,4,680,0
0,0.06413128,0.042540406,2,620,0
0,0.065759054,0.092466658,2,684,0
0,0.050104431,0.079427386,4,669,0
0,0.063279112,0.031144618,5,665,0
